n,real,user,sys,mRSS
1,0.00,0.00,0.00,4052
2,0.00,0.00,0.00,4200
3,0.00,0.00,0.00,4440
4,0.00,0.00,0.00,4772
5,0.00,0.00,0.00,5196
10,0.01,0.00,0.00,8816
20,0.05,0.04,0.00,23572
30,0.12,0.08,0.03,48128
40,0.20,0.17,0.02,82496
50,0.31,0.24,0.05,126668
60,0.44,0.37,0.05,180652
70,0.51,0.34,0.06,221364
