n,real,user,sys,mRSS
1,0.81,0.23,0.04,39120
2,0.88,0.22,0.06,39160
3,0.74,0.30,0.04,39828
4,0.82,0.25,0.08,39756
5,0.67,0.22,0.05,39968
10,0.60,0.19,0.04,40336
20,0.59,0.17,0.04,44272
30,0.68,0.25,0.05,49924
40,0.68,0.26,0.05,57784
50,0.88,0.43,0.08,70552
60,0.81,0.34,0.08,75464
70,0.93,0.36,0.05,91564
80,1.07,0.67,0.03,103568
90,1.01,0.56,0.08,120588
100,1.43,0.83,0.17,137136
200,3.95,3.33,0.25,398128
300,7.04,6.58,0.51,826368
400,12.76,11.97,0.92,1422488
