n,real,user,sys,mRSS
1,0.00,0.00,0.00,5972
2,0.01,0.00,0.01,7080
3,0.01,0.00,0.00,8444
4,0.01,0.01,0.00,10116
5,0.02,0.01,0.00,12072
10,0.05,0.04,0.00,26200
20,0.19,0.14,0.03,78788
30,0.36,0.27,0.08,168804
40,0.62,0.42,0.10,300092
