n,real,user,sys,mRSS
1,0.00,0.00,0.00,5968
2,0.01,0.00,0.00,7080
3,0.01,0.01,0.00,8444
4,0.02,0.02,0.00,10116
5,0.02,0.01,0.00,12072
10,0.05,0.04,0.00,26204
20,0.19,0.15,0.03,78792
30,0.37,0.32,0.04,168804
40,0.62,0.42,0.10,300108
