n,real,user,sys,mRSS
1,0.00,0.00,0.00,5972
2,0.01,0.01,0.00,7080
3,0.01,0.01,0.00,8444
4,0.01,0.01,0.00,10120
5,0.02,0.01,0.00,12072
10,0.05,0.04,0.00,26200
20,0.18,0.12,0.04,78788
30,0.37,0.32,0.04,168800
40,0.63,0.38,0.15,300052
