n,real,user,sys,mRSS
1,0.89,0.28,0.12,39564
2,0.85,0.23,0.02,39532
3,0.77,0.28,0.05,39588
4,0.73,0.21,0.08,39156
5,0.76,0.28,0.06,39964
10,0.66,0.18,0.06,40440
20,0.71,0.30,0.03,44648
30,0.80,0.33,0.10,49736
40,0.84,0.43,0.02,58128
50,1.09,0.52,0.07,70344
60,0.81,0.34,0.05,75472
70,1.13,0.62,0.07,91672
80,2.79,1.94,0.14,103812
90,1.61,1.20,0.08,120476
100,1.22,0.68,0.07,136928
200,3.13,2.54,0.28,397120
300,6.92,6.36,0.57,829080
400,10.96,11.17,0.87,1424236
