n,real,user,sys,mRSS
1,0.85,0.30,0.13,39416
2,0.90,0.41,0.05,40140
3,0.98,0.44,0.06,40532
4,0.84,0.36,0.07,40768
5,0.84,0.31,0.05,41164
10,0.84,0.38,0.05,43492
20,0.99,0.41,0.13,53724
30,1.05,0.48,0.07,63896
40,0.87,0.39,0.08,83244
50,1.22,0.68,0.13,102780
60,1.38,0.92,0.09,125716
70,1.30,0.79,0.04,153012
80,1.57,0.97,0.13,185476
90,2.28,2.00,0.08,219492
100,2.56,2.10,0.22,260936
200,6.90,6.82,0.53,843012
300,12.39,11.81,1.06,1801912
400,23.07,24.27,2.11,3147752
