n,real,user,sys,mRSS
1,0.87,0.25,0.06,40168
2,0.84,0.29,0.04,40320
3,0.87,0.27,0.06,40048
4,0.84,0.28,0.08,40952
5,0.66,0.19,0.08,40672
10,0.60,0.18,0.05,44020
20,0.65,0.20,0.08,53396
30,0.67,0.26,0.04,64108
40,0.84,0.40,0.05,83776
50,0.89,0.44,0.09,102640
60,1.09,0.55,0.05,123920
70,1.16,0.67,0.05,153168
80,1.58,1.07,0.10,185320
90,1.55,1.13,0.09,219408
100,2.28,1.78,0.13,258956
200,7.83,7.77,0.62,841172
300,14.89,14.70,1.17,1803748
400,24.02,23.00,2.03,3135132
