n,real,user,sys,mRSS
1,0.75,0.30,0.04,40184
2,0.98,0.35,0.10,40232
3,0.97,0.36,0.07,40552
4,0.97,0.33,0.09,40272
5,0.93,0.34,0.06,40816
10,0.85,0.29,0.05,43980
20,0.98,0.31,0.08,53384
30,1.02,0.54,0.05,64044
40,1.06,0.43,0.06,83748
50,1.32,0.77,0.10,103144
60,1.34,0.91,0.07,125756
70,1.18,0.66,0.12,153196
80,1.25,0.69,0.13,184684
90,2.08,1.74,0.11,220184
100,2.46,2.00,0.23,258936
200,9.86,9.80,0.83,836392
300,11.08,10.32,1.10,1803284
400,23.62,22.83,1.91,3124604
