n,real,user,sys,mRSS
1,0.75,0.20,0.10,38980
2,0.83,0.32,0.08,39176
3,1.13,0.48,0.10,39092
4,1.09,0.51,0.05,39776
5,1.11,0.40,0.07,39476
10,0.87,0.29,0.05,40884
20,0.81,0.28,0.05,44260
30,0.80,0.33,0.08,51828
40,1.06,0.43,0.04,57872
50,1.12,0.37,0.08,72484
60,1.07,0.56,0.07,75356
70,1.07,0.65,0.05,91632
80,0.96,0.47,0.04,103952
90,0.96,0.54,0.06,114664
100,1.59,0.97,0.14,136708
200,4.41,4.26,0.28,397924
300,7.56,7.13,0.64,828268
400,10.29,10.19,0.75,1428380
