n,real,user,sys,mRSS
1.0,0.0036363636363636364,0.0,0.0018181818181818182,5971.272727272727
2.0,0.009999999999999998,0.006363636363636364,0.0009090909090909091,7078.545454545455
3.0,0.010909090909090908,0.007272727272727273,0.0,8443.636363636364
4.0,0.014545454545454545,0.011818181818181818,0.0009090909090909091,10116.727272727272
5.0,0.019999999999999997,0.011818181818181816,0.0009090909090909091,12070.181818181818
10.0,0.052727272727272734,0.03999999999999999,0.005454545454545455,26201.454545454544
20.0,0.17545454545454542,0.13272727272727278,0.030000000000000002,78788.36363636363
30.0,0.36818181818181817,0.3,0.052727272727272734,168802.18181818182
40.0,0.62,0.40454545454545454,0.11545454545454543,300060.0
