n,real,user,sys,mRSS
1,0.00,0.00,0.00,4052
2,0.00,0.00,0.00,4200
3,0.00,0.00,0.00,4436
4,0.00,0.00,0.00,4772
5,0.00,0.00,0.00,5200
10,0.02,0.01,0.00,8820
20,0.05,0.04,0.00,23576
30,0.11,0.09,0.02,48132
40,0.20,0.17,0.02,82492
50,0.31,0.23,0.06,126672
60,0.41,0.33,0.06,180652
70,0.51,0.34,0.07,221332
