n,real,user,sys,mRSS
1,0.70,0.16,0.03,39548
2,0.76,0.17,0.04,39800
3,0.68,0.16,0.04,40408
4,0.74,0.16,0.04,40420
5,0.67,0.18,0.02,41168
10,0.73,0.15,0.06,43624
20,0.82,0.22,0.05,53612
30,0.79,0.24,0.08,63480
40,0.87,0.29,0.08,83712
50,1.12,0.59,0.07,103028
60,1.18,0.86,0.04,123412
70,1.61,1.02,0.14,152668
80,1.60,1.15,0.10,186272
90,1.49,1.11,0.13,219728
100,2.29,1.87,0.16,258784
200,4.62,4.07,0.37,839288
300,24.16,24.30,2.44,1804796
400,21.10,19.62,2.13,3132796
