n,real,user,sys,mRSS
1,0.03,0.00,0.02,5972
2,0.01,0.01,0.00,7076
3,0.02,0.01,0.00,8444
4,0.02,0.01,0.00,10116
5,0.02,0.01,0.00,12072
10,0.05,0.03,0.01,26200
20,0.17,0.12,0.04,78788
30,0.37,0.29,0.06,168800
40,0.62,0.41,0.11,300036
