n,real,user,sys,mRSS
1,0.25,0.21,0.03,39096
2,0.24,0.22,0.01,39192
3,0.24,0.22,0.01,38904
4,0.23,0.21,0.01,39208
5,0.23,0.21,0.01,39572
10,0.24,0.20,0.03,40408
20,0.26,0.24,0.02,44028
30,0.27,0.23,0.04,49992
40,0.32,0.29,0.02,64224
50,0.34,0.30,0.03,70552
60,0.43,0.38,0.06,78556
70,0.49,0.45,0.04,91524
80,0.59,0.55,0.07,107124
90,0.68,0.64,0.05,124940
100,0.78,0.69,0.12,140472
200,2.39,2.27,0.19,401788
300,4.94,4.71,0.38,829216
400,8.70,8.45,0.60,1433648
