n,real,user,sys,mRSS
1,0.76,0.36,0.04,39436
2,0.89,0.15,0.06,39700
3,0.63,0.18,0.08,39852
4,0.62,0.20,0.05,39660
5,0.61,0.19,0.07,39888
10,0.72,0.31,0.05,40880
20,0.89,0.45,0.05,44852
30,0.82,0.39,0.04,49840
40,0.78,0.35,0.04,57824
50,0.83,0.37,0.07,70476
60,1.30,0.73,0.19,75168
70,1.20,0.71,0.11,91652
80,1.04,0.47,0.11,103596
90,1.19,0.64,0.11,124704
100,1.26,0.71,0.05,139080
200,3.52,3.30,0.13,398356
300,6.74,6.47,0.40,831368
400,11.60,11.12,0.88,1430308
