n,real,user,sys,mRSS
1,0.76,0.17,0.07,39448
2,1.00,0.22,0.04,39800
3,0.69,0.16,0.07,39064
4,0.83,0.32,0.04,39316
5,0.95,0.30,0.10,39884
10,1.21,0.44,0.06,41012
20,0.88,0.38,0.07,44664
30,1.24,0.65,0.10,49832
40,1.06,0.59,0.07,57984
50,1.11,0.58,0.06,70096
60,1.08,0.57,0.08,75508
70,1.30,0.80,0.07,91356
80,1.43,0.93,0.09,103896
90,1.43,1.04,0.06,114400
100,1.51,1.03,0.08,137044
200,3.54,3.16,0.23,398500
300,8.39,7.91,0.56,831348
400,13.21,12.57,0.95,1431204
