n,real,user,sys,mRSS
1,0.03,0.00,0.01,3996
2,0.00,0.00,0.00,4200
3,0.00,0.00,0.00,4436
4,0.00,0.00,0.00,4772
5,0.00,0.00,0.00,5196
10,0.01,0.01,0.00,8816
20,0.05,0.05,0.00,23572
30,0.12,0.08,0.03,48128
40,0.22,0.18,0.03,82496
50,0.33,0.26,0.06,126672
60,0.43,0.37,0.05,180652
70,0.52,0.33,0.09,221324
