n,real,user,sys,mRSS
1.0,0.5,0.004545454545454546,0.04727272727272727,3861.090909090909
2.0,0.49181818181818177,0.0,0.046363636363636364,4007.2727272727275
3.0,0.46636363636363637,0.0,0.042727272727272725,4247.636363636364
4.0,0.4572727272727272,0.0036363636363636364,0.04181818181818182,4580.0
5.0,0.45,0.002727272727272727,0.04454545454545455,5009.090909090909
10.0,0.5609090909090908,0.022727272727272724,0.052727272727272734,8628.0
20.0,0.5927272727272728,0.08454545454545456,0.055454545454545465,23384.0
30.0,0.7263636363636363,0.2218181818181818,0.08,47938.181818181816
40.0,1.0054545454545456,0.3845454545454546,0.12181818181818184,82304.72727272728
50.0,1.1372727272727272,0.5636363636363636,0.14181818181818182,126482.18181818182
60.0,1.7936363636363633,0.8836363636363636,0.3172727272727273,180463.27272727274
