n,real,user,sys,mRSS
1,0.75,0.20,0.04,41208
2,0.68,0.26,0.03,39792
3,1.31,0.34,0.05,40020
4,0.65,0.24,0.03,40268
5,0.72,0.25,0.04,41132
10,0.61,0.24,0.03,43456
20,0.80,0.28,0.06,53776
30,0.92,0.48,0.05,63600
40,1.05,0.36,0.13,83912
50,0.99,0.46,0.10,102568
60,1.24,0.78,0.09,123472
70,1.67,1.20,0.11,152756
80,2.14,1.58,0.16,185420
90,1.71,1.23,0.12,218964
100,1.84,1.34,0.09,258536
200,5.16,4.65,0.44,839384
300,14.21,14.43,1.36,1798520
400,23.55,25.17,2.42,3144352
