n,real,user,sys,mRSS
1,0.00,0.00,0.00,5968
2,0.01,0.00,0.00,7080
3,0.01,0.01,0.00,8440
4,0.01,0.01,0.00,10120
5,0.02,0.01,0.00,12072
10,0.08,0.06,0.00,26200
20,0.17,0.13,0.03,78788
30,0.36,0.30,0.05,168804
40,0.61,0.39,0.12,300108
