n,real,user,sys,mRSS
1,0.84,0.26,0.07,39924
2,0.61,0.18,0.03,40232
3,0.76,0.32,0.05,40592
4,1.00,0.40,0.09,40860
5,1.22,0.48,0.09,40808
10,0.83,0.30,0.07,43668
20,0.87,0.45,0.05,53852
30,1.04,0.50,0.08,64108
40,1.44,0.80,0.15,83876
50,1.36,0.79,0.09,102548
60,1.37,0.82,0.07,123480
70,1.46,0.97,0.11,153144
80,2.03,1.60,0.16,185360
90,2.38,1.96,0.17,220036
100,2.07,1.46,0.13,258156
200,6.58,6.14,0.56,836884
300,12.80,12.37,1.01,1803608
400,22.38,21.38,1.88,3133488
