n,real,user,sys,mRSS
1.0,0.25545454545454543,0.21454545454545454,0.035454545454545454,39497.09090909091
2.0,0.2372727272727273,0.21636363636363634,0.014545454545454549,39670.545454545456
3.0,0.23999999999999996,0.21090909090909093,0.02090909090909091,39944.36363636364
4.0,0.24000000000000005,0.2081818181818182,0.025454545454545455,40302.90909090909
5.0,0.2427272727272727,0.2218181818181818,0.018181818181818184,41961.09090909091
10.0,0.25,0.22000000000000003,0.02454545454545454,43376.72727272727
20.0,0.2790909090909091,0.2509090909090909,0.024545454545454547,52450.545454545456
30.0,0.3445454545454545,0.30818181818181817,0.03181818181818182,65940.36363636363
40.0,0.45454545454545464,0.41545454545454547,0.03909090909090909,82525.09090909091
50.0,0.5618181818181819,0.5472727272727274,0.05454545454545456,101483.27272727272
60.0,0.6836363636363637,0.6381818181818182,0.06727272727272728,125494.54545454546
70.0,0.8272727272727273,0.7690909090909092,0.07909090909090909,152737.45454545456
80.0,1.030909090909091,1.0072727272727273,0.08272727272727275,181895.27272727274
90.0,1.2454545454545454,1.170909090909091,0.10636363636363635,216823.63636363635
100.0,1.4372727272727273,1.35,0.1190909090909091,249215.27272727274
200.0,4.787272727272727,4.544545454545454,0.42181818181818187,831920.0
300.0,10.159999999999998,9.713636363636363,0.8336363636363636,1793216.3636363635
400.0,18.12818181818182,17.484545454545454,1.458181818181818,3139119.272727273
