n,real,user,sys,mRSS
1,0.00,0.00,0.00,4052
2,0.00,0.00,0.00,4204
3,0.00,0.00,0.00,4436
4,0.00,0.00,0.00,4768
5,0.00,0.00,0.00,5196
10,0.01,0.01,0.00,8820
20,0.06,0.05,0.01,23576
30,0.12,0.10,0.01,48128
40,0.20,0.17,0.02,82496
50,0.30,0.24,0.05,126672
60,0.42,0.34,0.06,180656
70,0.51,0.33,0.07,221364
