n,real,user,sys,mRSS
1,0.00,0.00,0.00,5972
2,0.01,0.00,0.00,7076
3,0.01,0.00,0.00,8444
4,0.02,0.01,0.00,10116
5,0.02,0.01,0.00,12072
10,0.05,0.04,0.01,26204
20,0.18,0.13,0.04,78788
30,0.37,0.30,0.05,168800
40,0.62,0.42,0.10,300036
