n,real,user,sys,mRSS
1,0.66,0.18,0.07,39432
2,0.62,0.15,0.03,39768
3,0.66,0.22,0.05,40028
4,0.66,0.24,0.04,41012
5,0.68,0.24,0.05,41464
10,0.66,0.26,0.03,43652
20,0.77,0.27,0.09,53860
30,0.78,0.31,0.04,63596
40,0.83,0.36,0.07,83700
50,0.98,0.56,0.05,102456
60,1.11,0.72,0.09,123760
70,1.35,0.87,0.11,153016
80,1.75,1.29,0.10,185640
90,1.80,1.37,0.11,221752
100,2.47,2.02,0.15,258712
200,7.81,7.82,0.54,841820
300,28.84,27.64,2.89,1799156
400,22.12,23.10,2.00,3144280
