n,real,user,sys,mRSS
1,0.76,0.20,0.06,40044
2,0.73,0.19,0.04,40116
3,0.98,0.26,0.10,40092
4,0.81,0.31,0.05,40836
5,0.93,0.42,0.04,41184
10,1.14,0.54,0.08,43980
20,1.22,0.52,0.11,53740
30,1.08,0.56,0.06,64164
40,1.18,0.69,0.07,83564
50,1.25,0.61,0.11,102416
60,1.49,1.10,0.06,123020
70,1.69,1.11,0.10,152900
80,2.15,1.57,0.20,187504
90,2.16,1.75,0.13,219892
100,2.33,1.67,0.25,258516
200,7.60,7.47,0.62,840840
300,15.34,15.53,1.18,1804800
400,24.03,23.32,1.84,3134028
