n,real,user,sys,mRSS
1,0.75,0.24,0.07,39096
2,0.96,0.23,0.06,39120
3,0.90,0.30,0.07,39620
4,0.90,0.29,0.07,41360
5,1.02,0.25,0.10,40048
10,0.87,0.30,0.07,40804
20,0.90,0.34,0.05,44124
30,1.38,0.70,0.10,49428
40,1.12,0.62,0.06,60228
50,0.98,0.55,0.05,69924
60,1.00,0.43,0.05,75548
70,1.24,0.72,0.14,91644
80,1.56,0.97,0.18,103560
90,1.39,0.94,0.09,120184
100,1.42,0.91,0.13,136920
200,3.42,3.13,0.18,398000
300,7.71,7.32,0.74,831336
400,13.53,12.77,1.08,1427100
