n,real,user,sys,mRSS
1,0.00,0.00,0.00,5972
2,0.01,0.01,0.00,7076
3,0.01,0.01,0.00,8444
4,0.02,0.02,0.00,10116
5,0.02,0.02,0.00,12068
10,0.05,0.04,0.01,26200
20,0.17,0.14,0.02,78788
30,0.38,0.31,0.05,168804
40,0.62,0.37,0.15,300108
