n,real,user,sys,mRSS
1,0.71,0.17,0.05,39444
2,0.66,0.16,0.04,39176
3,0.60,0.19,0.05,39104
4,1.00,0.32,0.04,39804
5,0.65,0.22,0.05,39892
10,0.66,0.19,0.07,42828
20,0.67,0.26,0.03,44844
30,0.66,0.24,0.04,49812
40,0.83,0.36,0.05,57672
50,0.78,0.29,0.08,72048
60,0.89,0.43,0.08,75136
70,1.05,0.57,0.09,91560
80,1.11,0.51,0.13,103572
90,1.27,0.76,0.08,120520
100,1.30,0.72,0.07,136744
200,3.20,2.72,0.28,401760
300,22.65,23.02,1.69,826904
400,13.31,13.27,1.12,1432688
