n,real,user,sys,mRSS
1.0,0.5472727272727272,0.16363636363636364,0.03363636363636364,38971.27272727273
2.0,0.5063636363636363,0.16636363636363638,0.03181818181818182,39051.63636363636
3.0,0.5436363636363636,0.15999999999999998,0.03272727272727272,39142.90909090909
4.0,0.43636363636363634,0.16545454545454544,0.029090909090909098,39271.27272727273
5.0,0.47909090909090907,0.18090909090909088,0.03818181818181818,39241.09090909091
10.0,0.48454545454545456,0.20181818181818179,0.0409090909090909,40241.09090909091
20.0,0.5409090909090909,0.2536363636363636,0.04545454545454545,44144.0
30.0,0.5354545454545455,0.23454545454545456,0.05454545454545456,49376.0
40.0,0.5800000000000001,0.28,0.049090909090909095,57749.454545454544
50.0,0.6136363636363638,0.31909090909090904,0.04818181818181819,69673.45454545454
60.0,0.6472727272727273,0.34181818181818185,0.04727272727272727,75122.90909090909
70.0,0.7536363636363638,0.3963636363636363,0.07000000000000002,91194.90909090909
80.0,0.7781818181818182,0.4327272727272728,0.051818181818181826,103536.36363636363
90.0,0.8763636363636365,0.5490909090909091,0.056363636363636366,117578.90909090909
100.0,0.9727272727272728,0.5909090909090908,0.05909090909090909,136690.9090909091
200.0,2.2936363636363635,1.9236363636363636,0.1727272727272727,397408.0
300.0,4.708181818181818,4.327272727272727,0.33272727272727276,826563.2727272727
400.0,8.209090909090909,7.9372727272727275,0.609090909090909,1430618.5454545454
