n,real,user,sys,mRSS
1,0.71,0.17,0.06,39884
2,0.75,0.18,0.07,40120
3,0.70,0.29,0.06,42100
4,0.66,0.19,0.09,41056
5,0.64,0.23,0.02,41156
10,0.63,0.21,0.08,44116
20,0.72,0.27,0.05,53260
30,0.86,0.41,0.07,64120
40,0.96,0.46,0.12,84044
50,0.97,0.56,0.04,102556
60,1.15,0.74,0.09,123376
70,1.25,0.84,0.07,152788
80,1.62,1.02,0.17,185620
90,1.67,1.20,0.08,219744
100,1.85,1.35,0.11,258184
200,5.54,5.24,0.49,842608
300,13.30,12.95,1.25,1803548
400,23.97,23.13,2.13,3137676
