n,real,user,sys,mRSS
1,0.00,0.00,0.00,4052
2,0.00,0.00,0.00,4204
3,0.00,0.00,0.00,4440
4,0.00,0.00,0.00,4768
5,0.00,0.00,0.00,5196
10,0.01,0.01,0.00,8820
20,0.05,0.04,0.00,23572
30,0.12,0.09,0.02,48128
40,0.20,0.17,0.01,82496
50,0.30,0.22,0.06,126672
60,0.43,0.33,0.08,180652
70,0.51,0.30,0.10,221364
