n,real,user,sys,mRSS
1,0.00,0.00,0.00,4052
2,0.00,0.00,0.00,4204
3,0.00,0.00,0.00,4436
4,0.00,0.00,0.00,4772
5,0.00,0.00,0.00,5196
10,0.01,0.01,0.00,8820
20,0.05,0.04,0.00,23576
30,0.12,0.09,0.01,48128
40,0.19,0.16,0.02,82496
50,0.30,0.24,0.05,126672
60,0.42,0.34,0.07,180652
70,0.54,0.35,0.08,221324
