n,real,user,sys,mRSS
1,0.00,0.00,0.00,4052
2,0.00,0.00,0.00,4200
3,0.00,0.00,0.00,4436
4,0.00,0.00,0.00,4768
5,0.00,0.00,0.00,5196
10,0.01,0.00,0.00,8820
20,0.05,0.04,0.00,23572
30,0.13,0.09,0.03,48128
40,0.20,0.14,0.05,82496
50,0.31,0.24,0.05,126672
60,0.44,0.35,0.07,180652
70,0.51,0.33,0.08,221364
